cgpa,internships,projects,certifications,hackathons,aptitude_score,communication_score,branch,degree,skills,resume_text,placed
7.55,0,2,3,3,61.2,60.1,CSE,B.Tech,"fastapi, feature engineering, java, machine learning, model deployment, scikit-learn, streamlit, tableau, xgboost","Built projects using fastapi, feature engineering, java, machine learning, model deployment, scikit-learn. Completed 2 projects, 0 internships, and worked on model evaluation.",0
9.17,3,0,0,2,65.7,49.1,EEE,M.Tech,"deep learning, java, machine learning, sql, streamlit","Built projects using deep learning, java, machine learning, sql, streamlit. Completed 0 projects, 3 internships, and worked on model evaluation.",1
5.85,2,1,1,0,64.6,76.7,ME,B.Sc,"cloud, deep learning, docker, fastapi, linux, machine learning, nlp, streamlit","Built projects using cloud, deep learning, docker, fastapi, linux, machine learning. Completed 1 projects, 2 internships, and worked on model evaluation.",0
7.57,3,1,2,0,52.4,82.9,ME,MCA,"deep learning, git, opencv, scikit-learn, sql, statistics, tableau","Built projects using deep learning, git, opencv, scikit-learn, sql, statistics. Completed 1 projects, 3 internships, and worked on model evaluation.",0
6.89,0,4,2,1,92.2,42.0,EEE,BCA,"docker, fastapi, feature engineering, git, model deployment, opencv, scikit-learn, sql, streamlit","Built projects using docker, fastapi, feature engineering, git, model deployment, opencv. Completed 4 projects, 0 internships, and worked on model evaluation.",0
8.07,2,4,1,1,46.0,64.0,AI&DS,B.Sc,"docker, linux, numpy, scikit-learn","Built projects using docker, linux, numpy, scikit-learn. Completed 4 projects, 2 internships, and worked on model evaluation.",0
7.23,1,3,4,2,45.9,87.1,IT,BCA,"excel, git, numpy, pandas, power bi, python, scikit-learn","Built projects using excel, git, numpy, pandas, power bi, python. Completed 3 projects, 1 internships, and worked on model evaluation.",1
7.04,0,6,3,1,100.0,61.9,EEE,B.Tech,"git, model deployment","Built projects using git, model deployment. Completed 6 projects, 0 internships, and worked on model evaluation.",0
8.58,1,4,0,2,74.4,75.5,IT,M.Tech,"cloud, data cleaning, fastapi, model deployment, numpy, scikit-learn, streamlit","Built projects using cloud, data cleaning, fastapi, model deployment, numpy, scikit-learn. Completed 4 projects, 1 internships, and worked on model evaluation.",0
6.92,0,1,3,4,67.0,85.3,Civil,MCA,"data cleaning, docker, linux, model deployment, python, scikit-learn, xgboost","Built projects using data cleaning, docker, linux, model deployment, python, scikit-learn. Completed 1 projects, 0 internships, and worked on model evaluation.",0
7.61,1,3,2,2,73.1,84.8,EEE,B.Sc,"fastapi, git, model deployment, pandas, statistics, xgboost","Built projects using fastapi, git, model deployment, pandas, statistics, xgboost. Completed 3 projects, 1 internships, and worked on model evaluation.",1
9.38,0,2,3,0,39.0,48.2,ME,MCA,"feature engineering, linux, machine learning, model deployment, streamlit","Built projects using feature engineering, linux, machine learning, model deployment, streamlit. Completed 2 projects, 0 internships, and worked on model evaluation.",0
6.9,1,4,5,1,56.1,75.0,Civil,MCA,"cloud, data cleaning, docker, fastapi, git, machine learning, model deployment, numpy, python","Built projects using cloud, data cleaning, docker, fastapi, git, machine learning. Completed 4 projects, 1 internships, and worked on model evaluation.",1
6.44,0,6,2,0,72.8,75.0,ME,B.Tech,"docker, java, scikit-learn, streamlit, xgboost","Built projects using docker, java, scikit-learn, streamlit, xgboost. Completed 6 projects, 0 internships, and worked on model evaluation.",0
8.67,1,3,2,0,76.9,56.9,CSE,MCA,"cloud, data cleaning, fastapi, java, model deployment, scikit-learn, sql, statistics, xgboost","Built projects using cloud, data cleaning, fastapi, java, model deployment, scikit-learn. Completed 3 projects, 1 internships, and worked on model evaluation.",1
7.9,3,5,1,1,68.7,53.5,EEE,MCA,"cloud, docker, excel, fastapi, java, machine learning, nlp, pandas, statistics","Built projects using cloud, docker, excel, fastapi, java, machine learning. Completed 5 projects, 3 internships, and worked on model evaluation.",1
5.67,1,6,3,2,93.5,40.2,AI&DS,M.Tech,"model deployment, python, xgboost","Built projects using model deployment, python, xgboost. Completed 6 projects, 1 internships, and worked on model evaluation.",0
7.74,1,4,1,0,71.3,43.6,AI&DS,BCA,"cloud, java, linux, opencv, pandas, power bi, scikit-learn, tableau","Built projects using cloud, java, linux, opencv, pandas, power bi. Completed 4 projects, 1 internships, and worked on model evaluation.",1
6.55,0,4,2,1,64.0,62.2,Civil,MCA,"data cleaning, java, opencv, pandas","Built projects using data cleaning, java, opencv, pandas. Completed 4 projects, 0 internships, and worked on model evaluation.",0
6.85,0,6,0,0,52.5,73.8,AI&DS,M.Tech,"fastapi, java, linux, numpy, scikit-learn, statistics, tableau","Built projects using fastapi, java, linux, numpy, scikit-learn, statistics. Completed 6 projects, 0 internships, and worked on model evaluation.",0
7.11,0,5,1,0,72.9,100.0,AI&DS,BCA,"excel, linux, model deployment, numpy, opencv, pandas, sql, xgboost","Built projects using excel, linux, model deployment, numpy, opencv, pandas. Completed 5 projects, 0 internships, and worked on model evaluation.",0
8.03,0,4,1,0,35.5,50.5,ME,M.Tech,"docker, fastapi, model deployment, scikit-learn","Built projects using docker, fastapi, model deployment, scikit-learn. Completed 4 projects, 0 internships, and worked on model evaluation.",0
8.3,1,2,0,0,53.5,64.8,IT,BCA,"cloud, fastapi, git, linux, machine learning, tableau","Built projects using cloud, fastapi, git, linux, machine learning, tableau. Completed 2 projects, 1 internships, and worked on model evaluation.",0
5.63,1,2,2,0,65.4,69.2,ME,B.Sc,"cloud, deep learning, docker, excel, python, statistics, tableau","Built projects using cloud, deep learning, docker, excel, python, statistics. Completed 2 projects, 1 internships, and worked on model evaluation.",0
7.3,2,5,3,2,76.9,76.1,ECE,B.Tech,"cloud, docker, feature engineering, java, numpy, opencv, power bi, streamlit","Built projects using cloud, docker, feature engineering, java, numpy, opencv. Completed 5 projects, 2 internships, and worked on model evaluation.",0
7.21,0,4,0,2,71.5,65.7,AI&DS,B.Sc,"docker, excel, feature engineering, model deployment, numpy, python","Built projects using docker, excel, feature engineering, model deployment, numpy, python. Completed 4 projects, 0 internships, and worked on model evaluation.",0
7.07,1,4,5,1,59.9,68.8,IT,M.Tech,"data cleaning, pandas, power bi, scikit-learn, statistics","Built projects using data cleaning, pandas, power bi, scikit-learn, statistics. Completed 4 projects, 1 internships, and worked on model evaluation.",0
8.71,2,5,3,3,88.0,92.6,ECE,MCA,"docker, excel, java, sql, statistics, streamlit","Built projects using docker, excel, java, sql, statistics, streamlit. Completed 5 projects, 2 internships, and worked on model evaluation.",1
8.09,1,3,1,0,73.9,35.9,EEE,BCA,"data cleaning, docker, excel, linux, nlp, numpy, power bi, streamlit","Built projects using data cleaning, docker, excel, linux, nlp, numpy. Completed 3 projects, 1 internships, and worked on model evaluation.",0
7.49,3,1,7,0,85.4,58.5,ECE,BCA,"fastapi, sql","Built projects using fastapi, sql. Completed 1 projects, 3 internships, and worked on model evaluation.",0
6.77,0,4,2,1,59.3,95.9,EEE,B.Sc,"deep learning, excel, fastapi, java, numpy, statistics","Built projects using deep learning, excel, fastapi, java, numpy, statistics. Completed 4 projects, 0 internships, and worked on model evaluation.",1
8.42,1,2,2,2,65.6,71.2,ECE,BCA,"deep learning, excel, git, numpy, streamlit, tableau","Built projects using deep learning, excel, git, numpy, streamlit, tableau. Completed 2 projects, 1 internships, and worked on model evaluation.",1
5.99,0,0,0,1,74.9,83.0,IT,MCA,"docker, linux, machine learning, numpy, scikit-learn, tableau, xgboost","Built projects using docker, linux, machine learning, numpy, scikit-learn, tableau. Completed 0 projects, 0 internships, and worked on model evaluation.",0
6.45,1,5,1,1,57.6,78.9,ECE,MCA,"docker, feature engineering, java, linux, model deployment, numpy, power bi","Built projects using docker, feature engineering, java, linux, model deployment, numpy. Completed 5 projects, 1 internships, and worked on model evaluation.",0
5.71,2,3,5,0,88.7,91.9,EEE,B.Sc,"deep learning, fastapi, feature engineering, machine learning, model deployment, nlp, opencv, pandas, power bi, streamlit","Built projects using deep learning, fastapi, feature engineering, machine learning, model deployment, nlp. Completed 3 projects, 2 internships, and worked on model evaluation.",1
7.9,2,3,2,0,63.3,74.3,ECE,MCA,"data cleaning, excel, numpy, pandas, python, scikit-learn, tableau","Built projects using data cleaning, excel, numpy, pandas, python, scikit-learn. Completed 3 projects, 2 internships, and worked on model evaluation.",1
8.3,2,0,3,2,81.6,75.5,Civil,M.Tech,"fastapi, feature engineering, java, opencv, power bi, statistics, tableau","Built projects using fastapi, feature engineering, java, opencv, power bi, statistics. Completed 0 projects, 2 internships, and worked on model evaluation.",0
9.77,1,2,2,2,67.2,48.9,CSE,BCA,"deep learning, excel, nlp, opencv, pandas, python, statistics, streamlit","Built projects using deep learning, excel, nlp, opencv, pandas, python. Completed 2 projects, 1 internships, and worked on model evaluation.",1
10.0,2,2,2,1,64.1,56.1,Civil,M.Tech,"cloud, fastapi, numpy, pandas, statistics, tableau, xgboost","Built projects using cloud, fastapi, numpy, pandas, statistics, tableau. Completed 2 projects, 2 internships, and worked on model evaluation.",0
8.39,1,6,4,1,62.9,70.3,CSE,B.Tech,"data cleaning, fastapi, feature engineering, model deployment","Built projects using data cleaning, fastapi, feature engineering, model deployment. Completed 6 projects, 1 internships, and worked on model evaluation.",0
6.92,1,4,0,1,68.9,65.6,Civil,MCA,"git, java, machine learning, pandas, statistics, streamlit","Built projects using git, java, machine learning, pandas, statistics, streamlit. Completed 4 projects, 1 internships, and worked on model evaluation.",1
6.8,0,3,2,3,51.4,59.6,EEE,B.Tech,"cloud, data cleaning, fastapi, numpy, pandas, python","Built projects using cloud, data cleaning, fastapi, numpy, pandas, python. Completed 3 projects, 0 internships, and worked on model evaluation.",1
5.99,1,5,2,1,67.9,44.4,AI&DS,M.Tech,"docker, nlp, opencv, power bi, sql, streamlit","Built projects using docker, nlp, opencv, power bi, sql, streamlit. Completed 5 projects, 1 internships, and worked on model evaluation.",1
9.26,0,2,1,0,66.6,55.2,ECE,M.Tech,"data cleaning, excel, fastapi, git, streamlit","Built projects using data cleaning, excel, fastapi, git, streamlit. Completed 2 projects, 0 internships, and worked on model evaluation.",0
7.0,1,1,1,3,79.0,51.5,EEE,B.Sc,"data cleaning, fastapi, java, nlp, scikit-learn, sql, statistics, streamlit","Built projects using data cleaning, fastapi, java, nlp, scikit-learn, sql. Completed 1 projects, 1 internships, and worked on model evaluation.",0
7.54,1,2,3,1,62.2,37.9,ECE,M.Tech,"fastapi, feature engineering, git, machine learning, pandas, xgboost","Built projects using fastapi, feature engineering, git, machine learning, pandas, xgboost. Completed 2 projects, 1 internships, and worked on model evaluation.",0
8.01,1,2,1,1,56.3,74.9,CSE,B.Sc,"data cleaning, linux, nlp, numpy, scikit-learn, sql, statistics, tableau","Built projects using data cleaning, linux, nlp, numpy, scikit-learn, sql. Completed 2 projects, 1 internships, and worked on model evaluation.",0
6.97,3,0,3,1,61.9,59.1,CSE,B.Sc,"fastapi, nlp","Built projects using fastapi, nlp. Completed 0 projects, 3 internships, and worked on model evaluation.",0
6.51,0,3,4,1,63.1,47.3,ME,MCA,"data cleaning, docker, fastapi, feature engineering, opencv, pandas, power bi, statistics","Built projects using data cleaning, docker, fastapi, feature engineering, opencv, pandas. Completed 3 projects, 0 internships, and worked on model evaluation.",1
7.18,1,3,1,0,80.3,69.1,ECE,B.Tech,"data cleaning, fastapi, git, nlp, numpy, pandas, sql","Built projects using data cleaning, fastapi, git, nlp, numpy, pandas. Completed 3 projects, 1 internships, and worked on model evaluation.",1
6.65,2,3,2,0,94.8,72.0,AI&DS,MCA,"data cleaning, linux, nlp, power bi, scikit-learn, statistics","Built projects using data cleaning, linux, nlp, power bi, scikit-learn, statistics. Completed 3 projects, 2 internships, and worked on model evaluation.",1
7.6,1,7,5,1,43.5,66.4,Civil,M.Tech,"data cleaning, docker, excel, linux, machine learning, nlp, pandas, statistics, tableau","Built projects using data cleaning, docker, excel, linux, machine learning, nlp. Completed 7 projects, 1 internships, and worked on model evaluation.",0
7.01,2,0,1,0,77.7,68.8,CSE,BCA,"excel, machine learning, model deployment, opencv, pandas, python, sql, streamlit","Built projects using excel, machine learning, model deployment, opencv, pandas, python. Completed 0 projects, 2 internships, and worked on model evaluation.",1
8.22,1,2,3,1,64.2,51.1,IT,B.Sc,"linux, model deployment, nlp, xgboost","Built projects using linux, model deployment, nlp, xgboost. Completed 2 projects, 1 internships, and worked on model evaluation.",0
5.89,1,1,2,3,63.4,72.6,ECE,MCA,"linux, machine learning, opencv, pandas, scikit-learn, xgboost","Built projects using linux, machine learning, opencv, pandas, scikit-learn, xgboost. Completed 1 projects, 1 internships, and worked on model evaluation.",0
6.44,1,4,1,0,67.8,31.1,ECE,BCA,"deep learning, fastapi, nlp, opencv, streamlit, xgboost","Built projects using deep learning, fastapi, nlp, opencv, streamlit, xgboost. Completed 4 projects, 1 internships, and worked on model evaluation.",0
7.32,2,2,1,0,59.3,48.9,Civil,M.Tech,"fastapi, java, linux, numpy, python, xgboost","Built projects using fastapi, java, linux, numpy, python, xgboost. Completed 2 projects, 2 internships, and worked on model evaluation.",0
7.55,1,3,0,1,40.0,39.8,Civil,B.Sc,"data cleaning, feature engineering, git, machine learning, opencv, pandas, scikit-learn","Built projects using data cleaning, feature engineering, git, machine learning, opencv, pandas. Completed 3 projects, 1 internships, and worked on model evaluation.",0
6.75,1,0,2,1,51.7,95.1,AI&DS,B.Tech,"data cleaning, excel, python, statistics","Built projects using data cleaning, excel, python, statistics. Completed 0 projects, 1 internships, and worked on model evaluation.",0
7.45,0,4,1,0,59.9,59.5,IT,B.Sc,"cloud, feature engineering, power bi","Built projects using cloud, feature engineering, power bi. Completed 4 projects, 0 internships, and worked on model evaluation.",0
7.05,1,3,2,1,64.9,70.1,CSE,B.Sc,"cloud, excel, opencv, pandas, power bi, python","Built projects using cloud, excel, opencv, pandas, power bi, python. Completed 3 projects, 1 internships, and worked on model evaluation.",1
7.78,0,3,1,2,57.8,70.7,IT,B.Tech,"data cleaning, excel, fastapi, git, java, model deployment, sql, xgboost","Built projects using data cleaning, excel, fastapi, git, java, model deployment. Completed 3 projects, 0 internships, and worked on model evaluation.",1
8.63,0,4,1,2,43.1,69.9,AI&DS,M.Tech,"data cleaning, docker, machine learning, opencv, python","Built projects using data cleaning, docker, machine learning, opencv, python. Completed 4 projects, 0 internships, and worked on model evaluation.",0
8.87,0,4,5,3,77.1,42.6,ECE,MCA,"linux, machine learning, nlp, pandas, sql, statistics, streamlit","Built projects using linux, machine learning, nlp, pandas, sql, statistics. Completed 4 projects, 0 internships, and worked on model evaluation.",0
6.95,0,9,2,1,45.6,67.0,ME,MCA,"docker, excel, feature engineering, numpy, pandas, statistics, streamlit, tableau","Built projects using docker, excel, feature engineering, numpy, pandas, statistics. Completed 9 projects, 0 internships, and worked on model evaluation.",0
6.53,2,2,3,1,73.7,58.0,Civil,B.Sc,"cloud, deep learning, docker, feature engineering, java, model deployment, opencv, pandas, python, scikit-learn, tableau, xgboost","Built projects using cloud, deep learning, docker, feature engineering, java, model deployment. Completed 2 projects, 2 internships, and worked on model evaluation.",0
4.81,1,4,1,0,58.7,93.8,ME,MCA,"cloud, data cleaning, deep learning, linux, nlp, opencv, pandas, python, xgboost","Built projects using cloud, data cleaning, deep learning, linux, nlp, opencv. Completed 4 projects, 1 internships, and worked on model evaluation.",0
5.76,0,2,2,2,72.4,57.6,AI&DS,B.Tech,"deep learning, fastapi, feature engineering, git, nlp, numpy, scikit-learn, sql, tableau","Built projects using deep learning, fastapi, feature engineering, git, nlp, numpy. Completed 2 projects, 0 internships, and worked on model evaluation.",0
5.96,2,2,1,1,63.6,58.2,ME,B.Tech,"data cleaning, java, machine learning, opencv, python, statistics, xgboost","Built projects using data cleaning, java, machine learning, opencv, python, statistics. Completed 2 projects, 2 internships, and worked on model evaluation.",0
7.3,2,3,1,0,71.8,60.5,AI&DS,B.Tech,"data cleaning, python","Built projects using data cleaning, python. Completed 3 projects, 2 internships, and worked on model evaluation.",0
6.61,0,4,2,3,71.8,64.9,AI&DS,M.Tech,"cloud, deep learning, model deployment, pandas, scikit-learn, statistics, tableau","Built projects using cloud, deep learning, model deployment, pandas, scikit-learn, statistics. Completed 4 projects, 0 internships, and worked on model evaluation.",1
6.28,1,6,3,1,59.8,65.2,AI&DS,M.Tech,"data cleaning, deep learning, fastapi, java, linux, pandas, scikit-learn, sql, xgboost","Built projects using data cleaning, deep learning, fastapi, java, linux, pandas. Completed 6 projects, 1 internships, and worked on model evaluation.",0
7.91,0,1,1,1,52.8,86.2,Civil,B.Sc,"cloud, deep learning, docker, java, machine learning, numpy, pandas, sql, statistics","Built projects using cloud, deep learning, docker, java, machine learning, numpy. Completed 1 projects, 0 internships, and worked on model evaluation.",0
5.28,0,2,0,0,61.6,66.5,ME,MCA,"numpy, streamlit","Built projects using numpy, streamlit. Completed 2 projects, 0 internships, and worked on model evaluation.",0
5.56,1,3,1,1,52.9,56.7,AI&DS,MCA,"cloud, feature engineering, linux, model deployment, nlp, pandas, python, sql, streamlit","Built projects using cloud, feature engineering, linux, model deployment, nlp, pandas. Completed 3 projects, 1 internships, and worked on model evaluation.",0
4.14,2,3,4,2,78.3,39.2,Civil,M.Tech,"data cleaning, deep learning, model deployment, power bi, sql, streamlit","Built projects using data cleaning, deep learning, model deployment, power bi, sql, streamlit. Completed 3 projects, 2 internships, and worked on model evaluation.",0
6.36,1,3,2,1,71.4,38.4,ME,M.Tech,"cloud, feature engineering, machine learning, opencv, sql","Built projects using cloud, feature engineering, machine learning, opencv, sql. Completed 3 projects, 1 internships, and worked on model evaluation.",1
6.53,0,2,1,1,64.7,60.4,ECE,M.Tech,"feature engineering, git, java, nlp, numpy, pandas, xgboost","Built projects using feature engineering, git, java, nlp, numpy, pandas. Completed 2 projects, 0 internships, and worked on model evaluation.",0
6.61,1,1,2,0,73.5,73.2,AI&DS,M.Tech,"excel, feature engineering, model deployment, power bi, python, scikit-learn, sql","Built projects using excel, feature engineering, model deployment, power bi, python, scikit-learn. Completed 1 projects, 1 internships, and worked on model evaluation.",1
7.66,0,2,2,2,67.9,88.9,AI&DS,BCA,"cloud, data cleaning, java, machine learning, nlp, opencv, xgboost","Built projects using cloud, data cleaning, java, machine learning, nlp, opencv. Completed 2 projects, 0 internships, and worked on model evaluation.",1
5.8,1,4,1,1,61.5,79.9,Civil,MCA,"fastapi, git, java, model deployment","Built projects using fastapi, git, java, model deployment. Completed 4 projects, 1 internships, and worked on model evaluation.",0
6.16,1,2,1,0,73.1,73.7,EEE,B.Tech,"docker, excel, git, numpy, python","Built projects using docker, excel, git, numpy, python. Completed 2 projects, 1 internships, and worked on model evaluation.",0
7.6,1,1,2,0,40.3,61.1,CSE,M.Tech,"docker, excel, git, java, linux, scikit-learn, xgboost","Built projects using docker, excel, git, java, linux, scikit-learn. Completed 1 projects, 1 internships, and worked on model evaluation.",0
8.27,2,6,3,2,58.0,76.6,Civil,B.Tech,"nlp, numpy, opencv, power bi, python, sql","Built projects using nlp, numpy, opencv, power bi, python, sql. Completed 6 projects, 2 internships, and worked on model evaluation.",1
8.16,0,3,2,1,68.9,64.6,Civil,BCA,"feature engineering, linux, model deployment, nlp, numpy, streamlit, xgboost","Built projects using feature engineering, linux, model deployment, nlp, numpy, streamlit. Completed 3 projects, 0 internships, and worked on model evaluation.",0
6.83,1,4,2,2,69.8,64.0,EEE,B.Tech,"deep learning, fastapi, feature engineering, git, opencv, sql, statistics, xgboost","Built projects using deep learning, fastapi, feature engineering, git, opencv, sql. Completed 4 projects, 1 internships, and worked on model evaluation.",1
6.21,3,2,3,1,51.0,70.0,CSE,B.Sc,"cloud, data cleaning, deep learning, java, nlp, numpy, streamlit","Built projects using cloud, data cleaning, deep learning, java, nlp, numpy. Completed 2 projects, 3 internships, and worked on model evaluation.",0
7.22,0,3,0,1,70.4,37.2,ECE,BCA,"fastapi, feature engineering, git, java, numpy, opencv","Built projects using fastapi, feature engineering, git, java, numpy, opencv. Completed 3 projects, 0 internships, and worked on model evaluation.",0
8.33,3,4,1,2,47.2,66.4,EEE,B.Tech,"java, nlp, pandas, sql, xgboost","Built projects using java, nlp, pandas, sql, xgboost. Completed 4 projects, 3 internships, and worked on model evaluation.",1
7.49,1,2,0,2,63.7,83.4,ME,B.Tech,"excel, git, nlp, numpy, python","Built projects using excel, git, nlp, numpy, python. Completed 2 projects, 1 internships, and worked on model evaluation.",0
7.14,3,3,4,1,74.7,76.8,IT,M.Tech,"cloud, data cleaning, linux, nlp, numpy, pandas, sql, statistics","Built projects using cloud, data cleaning, linux, nlp, numpy, pandas. Completed 3 projects, 3 internships, and worked on model evaluation.",0
9.18,1,3,3,1,74.3,82.1,Civil,M.Tech,"cloud, data cleaning, docker, fastapi, opencv, power bi, statistics, tableau, xgboost","Built projects using cloud, data cleaning, docker, fastapi, opencv, power bi. Completed 3 projects, 1 internships, and worked on model evaluation.",0
6.74,2,4,4,1,64.2,71.3,IT,BCA,"cloud, docker, excel, git, machine learning, numpy, power bi, python, scikit-learn, statistics","Built projects using cloud, docker, excel, git, machine learning, numpy. Completed 4 projects, 2 internships, and worked on model evaluation.",1
6.68,2,2,2,2,58.3,87.5,AI&DS,M.Tech,"cloud, excel, model deployment, pandas, power bi, python, scikit-learn, xgboost","Built projects using cloud, excel, model deployment, pandas, power bi, python. Completed 2 projects, 2 internships, and worked on model evaluation.",1
8.85,2,2,1,0,79.0,48.5,ME,M.Tech,"deep learning, docker, opencv, pandas, python, streamlit","Built projects using deep learning, docker, opencv, pandas, python, streamlit. Completed 2 projects, 2 internships, and worked on model evaluation.",0
6.91,2,7,1,1,61.8,62.3,Civil,MCA,"git, nlp, pandas, statistics, xgboost","Built projects using git, nlp, pandas, statistics, xgboost. Completed 7 projects, 2 internships, and worked on model evaluation.",0
7.8,1,4,1,2,57.6,55.5,ECE,M.Tech,"cloud, feature engineering, git, java, model deployment, opencv, pandas, sql","Built projects using cloud, feature engineering, git, java, model deployment, opencv. Completed 4 projects, 1 internships, and worked on model evaluation.",0
9.11,0,5,3,3,78.4,77.3,IT,B.Tech,"cloud, data cleaning, deep learning, feature engineering, linux, machine learning, numpy, pandas, power bi, python, scikit-learn, sql, streamlit","Built projects using cloud, data cleaning, deep learning, feature engineering, linux, machine learning. Completed 5 projects, 0 internships, and worked on model evaluation.",1
5.88,1,2,1,1,61.5,58.5,CSE,B.Sc,"cloud, fastapi, nlp, opencv, python, scikit-learn, statistics","Built projects using cloud, fastapi, nlp, opencv, python, scikit-learn. Completed 2 projects, 1 internships, and worked on model evaluation.",0
7.43,1,3,1,1,58.2,76.5,EEE,MCA,"fastapi, model deployment, statistics, streamlit, xgboost","Built projects using fastapi, model deployment, statistics, streamlit, xgboost. Completed 3 projects, 1 internships, and worked on model evaluation.",1
7.78,0,1,4,1,91.9,68.2,AI&DS,B.Tech,"cloud, feature engineering, machine learning, model deployment, nlp, numpy, power bi, sql","Built projects using cloud, feature engineering, machine learning, model deployment, nlp, numpy. Completed 1 projects, 0 internships, and worked on model evaluation.",1
6.98,1,1,2,1,71.4,67.2,EEE,B.Sc,"deep learning, feature engineering, python, scikit-learn, sql, xgboost","Built projects using deep learning, feature engineering, python, scikit-learn, sql, xgboost. Completed 1 projects, 1 internships, and worked on model evaluation.",0
7.63,2,0,1,0,75.0,39.8,IT,BCA,"git, machine learning, model deployment, power bi, python, scikit-learn","Built projects using git, machine learning, model deployment, power bi, python, scikit-learn. Completed 0 projects, 2 internships, and worked on model evaluation.",0
7.58,2,4,1,0,88.6,67.7,ME,MCA,"excel, fastapi, linux, machine learning, numpy, pandas","Built projects using excel, fastapi, linux, machine learning, numpy, pandas. Completed 4 projects, 2 internships, and worked on model evaluation.",1
7.11,2,9,3,0,87.8,63.7,EEE,BCA,"docker, excel, linux, machine learning, nlp, scikit-learn, statistics","Built projects using docker, excel, linux, machine learning, nlp, scikit-learn. Completed 9 projects, 2 internships, and worked on model evaluation.",1
6.79,1,4,2,1,86.9,87.0,IT,B.Sc,"docker, fastapi, java, model deployment, nlp","Built projects using docker, fastapi, java, model deployment, nlp. Completed 4 projects, 1 internships, and worked on model evaluation.",0
8.47,0,4,4,0,72.1,100.0,IT,BCA,"docker, fastapi, feature engineering, sql","Built projects using docker, fastapi, feature engineering, sql. Completed 4 projects, 0 internships, and worked on model evaluation.",1
7.48,1,3,2,1,67.7,55.2,ECE,B.Sc,"cloud, fastapi, feature engineering, machine learning, model deployment, numpy, power bi, sql","Built projects using cloud, fastapi, feature engineering, machine learning, model deployment, numpy. Completed 3 projects, 1 internships, and worked on model evaluation.",1
8.49,1,2,1,0,41.3,45.8,ME,BCA,"linux, model deployment, sql, xgboost","Built projects using linux, model deployment, sql, xgboost. Completed 2 projects, 1 internships, and worked on model evaluation.",0
7.61,1,1,5,2,67.0,47.9,IT,M.Tech,"deep learning, fastapi, linux, machine learning, model deployment, nlp","Built projects using deep learning, fastapi, linux, machine learning, model deployment, nlp. Completed 1 projects, 1 internships, and worked on model evaluation.",0
5.38,2,3,5,3,56.1,74.7,IT,M.Tech,"fastapi, git, numpy, opencv, statistics","Built projects using fastapi, git, numpy, opencv, statistics. Completed 3 projects, 2 internships, and worked on model evaluation.",1
6.1,0,0,2,2,78.5,78.1,EEE,MCA,"python, statistics, streamlit, tableau, xgboost","Built projects using python, statistics, streamlit, tableau, xgboost. Completed 0 projects, 0 internships, and worked on model evaluation.",0
9.04,1,5,0,1,53.8,87.6,ECE,M.Tech,"fastapi, git, nlp, opencv, sql","Built projects using fastapi, git, nlp, opencv, sql. Completed 5 projects, 1 internships, and worked on model evaluation.",1
6.73,1,5,2,1,80.2,50.3,EEE,M.Tech,"cloud, excel, linux, scikit-learn","Built projects using cloud, excel, linux, scikit-learn. Completed 5 projects, 1 internships, and worked on model evaluation.",1
